Establishment_id,Name,Category,City,State,Zip,Address_line_1,Address_line_2,Type,location_1,Zip Codes,Distance_to_McKeldin
1577,TODAY'S CRAB HOUSE,Carry-out,OXON HILL,MD,20745,4950 INDIAN HEAD HWY,,Food Establishments,POINT (-77.000524 38.820297),15574,11.81017845413414
1578,TOMORROW'S CATERERS,Catering Only,CLINTON,MD,20735,7598 COMMERCE LN,,Food Establishments,POINT (-76.906128 38.785514),15298,13.983505634829491
1579,TOMS CHINESE KITCHEN,Full Service,TAKOMA PARK,MD,20912,6853 NEW HAMPSHIRE AVE,,Food Establishments,POINT (-76.995432 38.974101),2327,2.831778544010893
1580,TOP CHINA,Carry-out,FORT WASHINGTON,MD,20744,10733 INDIAN HEAD HWY,,Food Establishments,POINT (-76.992318 38.744278),15572,16.863034803053694
1581,TOP CHINA 88,Carry-out,BOWIE,MD,20720,12500 FAIRWOOD PKWY,C,Food Establishments,POINT (-76.788294 38.962975),16440,8.589101466988962
1582,TOP TASTE,Carry-out,NEW CARROLLTON,MD,20784,7029 ANNAPOLIS RD,B,Food Establishments,POINT (-76.895488 38.945941),10891,3.839281602830949
1583,TOPOLINO,Full Service,TEMPLE HILLS,MD,20748,6320 OLD BRANCH AVE,,Food Establishments,POINT (-76.905455 38.802173),15817,12.854499856361915
1584,TOUCAN TACO,Full Service,LAUREL,MD,20707,315 GORMAN AVE,,Food Establishments,POINT (-76.850586 39.098684),15996,9.291347890116187
1585,TRINITY EPISCOPAL CHURCH,,UPPER MARLBORO,MD,20772,14515 CHURCH ST,,Food Establishments,POINT (-76.75394 38.814644),17002,15.676361839115586
1586,TRINITY LUTHERAN CHURCH,Church/Temple/Mosque,BOWIE,MD,20715,6600 LAUREL BOWIE RD,,Food Establishments,POINT (-76.756347 38.980618),16435,10.16742339574078
1587,CARIBBEAN GRILL,Restaurant,DISTRICT HTS,MD,20747,6041 MARLBORO PIKE,,Food Establishments,POINT (-76.902449 38.856134),15814,9.243524278462063
1588,TROPICANA EATERY,Carry-out,TEMPLE HILLS,MD,20748,3903 BRANCH AVE,,Food Establishments,POINT (-76.944875 38.837129),15817,10.264620373048398
1589,TUBBY'S DINER,Full Service,LAUREL,MD,20707,5701 SANDY SPRING RD,,Food Establishments,POINT (-76.908429 39.102741),15996,8.295263715082262
